movieNm,audiCnt,scrnCnt,scrnMean
007 노 타임 투 다이,1222296,36288,33.68320105820106
EBS 댄스파티! ,5177,104,49.77884615384615
강릉,298847,9481,31.52062018774391
경관의 피,676346,18389,36.77992277992278
경아의 딸,1963,61,32.18032786885246
그대가 조국,324303,5728,56.617143854748605
극장판 금빛 모자이크 땡큐!!,1768,51,34.666666666666664
극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,27983,941,29.7375132837407
극장판 엉덩이 탐정: 수플레 섬의 비밀,145915,5122,28.48789535337759
극장판 윌벤져스 : 수상한 캠핑 대소동,23256,538,43.226765799256505
극장판 포켓몬스터DP: 기라티나와 하늘의 꽃다발 쉐이미,575641,7926,72.6269240474388
날씨의 아이,12089,254,47.59448818897638
너의 이름은.,45672,552,82.73913043478261
니 부모 얼굴이 보고 싶다,409811,13637,30.051404267800837
닥터 스트레인지: 대혼돈의 멀티버스,5880700,48993,120.03143306186598
동백,6172,160,38.575
뒤틀린 집,29964,1014,29.550295857988164
듄,1578018,41647,37.89031622926021
뜨거운 피: 디 오리지널,12745,158,80.66455696202532
리스펙트,12974,379,34.23218997361477
마녀(魔女) Part2. The Other One,2795796,27322,102.32764804919113
명탐정 코난: 할로윈의 신부,441633,8990,49.12491657397108
모가디슈,1891368,46044,41.07740422204848
모어,1373,51,26.92156862745098
몬스타엑스 : 더 드리밍,26672,632,42.20253164556962
무녀도,3065,59,51.94915254237288
미니언즈2,1994072,20169,98.86816401408102
배드 가이즈,393867,11221,35.100882274307104
뱅드림! 필름 라이브 세컨드 스테이지,20051,609,32.92446633825944
버즈 라이트이어,339469,8660,39.19965357967668
범죄도시 2,12686014,81645,155.3801702492498
베놈 2: 렛 데어 비 카니지,2114192,38939,54.29497419040037
보이스,1419478,37965,37.38912155933096
브로커,1252060,19738,63.433985206201235
비상선언,1495289,9971,149.963795005516
비욘드라이브 더 무비 : 엔시티 레조넌스,15966,224,71.27678571428571
뽀로로 극장판 드래곤캐슬 대모험,372700,7445,50.060443250503695
샹치와 텐 링즈의 전설,1734677,38205,45.40444967936134
세븐틴 파워 오브 러브 : 더 무비,44818,1443,31.058905058905058
스파이더맨: 노 웨이 홈,7541536,90668,83.17748268407817
신비한 동물들과 덤블도어의 비밀,1190425,35129,33.88724415724899
싱크홀,2178353,35019,62.20488877466518
썸머 필름을 타고!,13967,468,29.844017094017094
씽2게더,869335,31422,27.666443892813952
언차티드,728669,26159,27.855384380136854
에이핑크 스페셜 무비 : 혼,3525,97,36.34020618556701
엔칸토: 마법의 세계,627768,21219,29.585183090626327
외계+인 1부,1498045,19562,76.57933749105409
유체이탈자,808285,24460,33.045175797219954
이터널스,3045398,48675,62.565957883923986
